time,open,high,low,close,spread_price
2025-05-13 08:45:00,2088.6,2088.85,2084.7,2084.9,0.2
2025-05-13 09:00:00,2084.9,2087.9,2084.55,2087.2,0.2
2025-05-13 09:15:00,2087.2,2090.95,2086.9,2090.8,0.2
2025-05-13 09:30:00,2090.8,2092.65,2090.5,2092.5,0.2
2025-05-13 09:45:00,2092.5,2094.75,2092.2,2094.7,0.2
2025-05-13 10:00:00,2094.7,2095.5,2092.9,2095.5,0.2
2025-05-13 10:15:00,2095.5,2095.5,2092.1,2092.55,0.2
2025-05-13 10:30:00,2092.55,2094.1,2092.1,2094.1,0.2
2025-05-13 10:45:00,2094.1,2095.3,2092.85,2093.0,0.2
2025-05-13 11:00:00,2093.0,2096.0,2092.6,2095.5,0.2
2025-05-13 11:15:00,2095.4,2096.8,2093.55,2094.6,0.2
2025-05-13 11:30:00,2094.6,2097.0,2092.75,2096.9,0.2
2025-05-13 11:45:00,2096.9,2099.5,2096.5,2099.1,0.2
2025-05-13 12:00:00,2099.0,2100.4,2097.2,2098.3,0.2
2025-05-13 12:15:00,2098.25,2101.3,2097.6,2101.05,0.2
2025-05-13 12:30:00,2101.05,2114.05,2099.27,2104.2,0.2
2025-05-13 12:45:00,2104.2,2107.0,2102.5,2106.5,0.2
2025-05-13 13:00:00,2106.5,2108.5,2104.35,2106.5,0.2
2025-05-13 13:15:00,2106.5,2108.95,2104.5,2104.8,0.2
2025-05-13 13:30:00,2104.9,2109.9,2101.35,2102.5,0.2
2025-05-13 13:45:00,2102.5,2105.0,2099.3,2099.65,0.2
2025-05-13 14:00:00,2099.7,2102.45,2098.35,2101.85,0.2
2025-05-13 14:15:00,2101.95,2105.6,2096.8,2096.85,0.2
2025-05-13 14:30:00,2096.85,2101.35,2094.95,2095.6,0.2
2025-05-13 14:45:00,2095.7,2102.45,2095.05,2101.5,0.2
2025-05-13 15:00:00,2101.55,2104.65,2099.2,2102.35,0.2
2025-05-13 15:15:00,2102.35,2108.85,2102.1,2106.4,0.2
2025-05-13 15:30:00,2106.35,2108.35,2104.75,2108.35,0.2
2025-05-13 15:45:00,2108.35,2108.95,2103.85,2106.05,0.2
2025-05-13 16:00:00,2106.1,2106.25,2101.25,2105.6,0.2
2025-05-13 16:15:00,2105.6,2108.25,2102.3,2106.55,0.2
2025-05-13 16:30:00,2106.55,2109.0,2105.7,2107.55,0.2
2025-05-13 16:45:00,2107.6,2109.45,2104.25,2104.55,0.2
2025-05-13 17:00:00,2104.55,2106.1,2102.4,2104.2,0.2
2025-05-13 17:15:00,2104.25,2107.35,2103.7,2106.5,0.2
2025-05-13 17:30:00,2106.55,2109.6,2106.35,2106.65,0.2
2025-05-13 17:45:00,2106.6,2108.9,2103.85,2104.45,0.2
2025-05-13 18:00:00,2104.45,2107.7,2102.85,2107.15,0.2
2025-05-13 18:15:00,2107.2,2109.3,2106.1,2108.4,0.2
2025-05-13 18:30:00,2108.4,2108.9,2105.05,2105.65,0.2
2025-05-13 18:45:00,2105.65,2109.45,2105.05,2108.8,0.2
2025-05-13 19:00:00,2108.75,2109.95,2107.35,2109.75,0.2
2025-05-13 19:15:00,2109.75,2110.35,2107.15,2108.65,0.2
2025-05-13 19:30:00,2108.65,2111.8,2108.15,2110.55,0.2
2025-05-13 19:45:00,2110.45,2110.55,2101.65,2102.15,0.2
2025-05-13 20:00:00,2102.15,2102.65,2100.45,2101.65,0.2
2025-05-13 20:15:00,2101.65,2101.65,2098.85,2099.0,0.2
2025-05-13 20:30:00,2099.0,2099.75,2097.8,2097.85,0.2
2025-05-13 20:45:00,2097.85,2099.4,2097.45,2097.87,0.2
2025-05-13 22:00:00,2100.57,2101.12,2098.67,2100.12,0.36
2025-05-13 22:15:00,2100.22,2101.32,2099.92,2100.72,0.36
2025-05-13 22:30:00,2100.72,2100.82,2100.07,2100.72,0.36
2025-05-13 22:45:00,2100.82,2101.77,2100.67,2100.72,0.36
2025-05-13 23:00:00,2100.82,2101.32,2099.82,2101.02,0.36
2025-05-13 23:15:00,2101.02,2101.12,2100.12,2100.32,0.36
2025-05-13 23:30:00,2100.32,2102.82,2100.32,2102.12,0.36
2025-05-13 23:45:00,2102.02,2102.52,2101.32,2101.42,0.36
2025-05-14 00:00:00,2101.37,2101.92,2099.92,2100.52,0.36
2025-05-14 00:15:00,2100.52,2100.62,2099.02,2099.42,0.36
2025-05-14 00:30:00,2099.52,2099.62,2097.77,2098.42,0.36
2025-05-14 00:45:00,2098.32,2098.82,2097.62,2098.12,0.36
2025-05-14 01:00:00,2098.12,2098.22,2095.52,2096.12,0.36
2025-05-14 01:15:00,2096.12,2097.57,2095.97,2097.17,0.36
2025-05-14 01:30:00,2097.17,2098.42,2096.42,2097.92,0.36
2025-05-14 01:45:00,2097.92,2098.02,2095.87,2096.47,0.36
2025-05-14 02:00:00,2096.47,2096.47,2094.42,2095.82,0.36
2025-05-14 02:15:00,2095.77,2097.52,2095.77,2096.72,0.36
2025-05-14 02:30:00,2096.72,2097.32,2096.22,2097.12,0.36
2025-05-14 02:45:00,2097.12,2097.32,2096.12,2096.82,0.36
2025-05-14 03:00:00,2096.82,2098.62,2096.57,2098.12,0.36
2025-05-14 03:15:00,2098.12,2098.32,2097.82,2098.12,0.36
2025-05-14 03:30:00,2098.12,2098.67,2097.92,2098.52,0.36
2025-05-14 03:45:00,2098.52,2099.12,2097.92,2098.87,0.36
2025-05-14 04:00:00,2098.87,2099.02,2098.02,2098.72,0.36
2025-05-14 04:15:00,2098.67,2099.67,2098.47,2099.32,0.36
2025-05-14 04:30:00,2099.32,2101.27,2099.22,2101.02,0.36
2025-05-14 04:45:00,2101.02,2101.22,2100.07,2100.22,0.36
2025-05-14 05:00:00,2100.32,2100.92,2100.02,2100.52,0.36
2025-05-14 05:15:00,2100.52,2100.92,2098.32,2098.42,0.36
2025-05-14 05:30:00,2098.42,2099.32,2098.42,2098.92,0.36
2025-05-14 05:45:00,2098.82,2099.07,2098.42,2098.52,0.36
2025-05-14 06:00:00,2098.52,2099.32,2097.82,2097.92,0.36
